id,header_text,description_text,cause,effect,alert_stop_ids,alert_route_ids,alert_start_times,alert_end_times,timestamp,language,text,locations,times,entities,urgency_label,urgency_score,category
SIRIGM:1143401-2-1069-5,Tram 17 rijdt om tussen de haltes Nieuwezijds Kolk en Bilderdijkstraat. Details: gvb.nl -- Tram 17 is diverted between the Nieuwezijds Kolk ,Tram 17 rijdt om tussen de haltes Nieuwezijds Kolk en Bilderdijkstraat. Details: gvb.nl -- Tram 17 is diverted between the Nieuwezijds Kolk and Bilderdijkstraat stops. Details: gvb.nl,,,"['3151953', '3152158', '3117696', '3152013', '3056776', '3152432', '3152852', '2636608', '3152189', '3152394', '3152975', '3056777', '3056775', '3117695', '2636568', '2636603']",,"[datetime.datetime(2025, 2, 15, 4, 0)]","[datetime.datetime(2025, 8, 17, 23, 0)]",2025-06-17 20:58:25.709132,nl,Tram 17 rijdt om tussen de haltes Nieuwezijds Kolk en Bilderdijkstraat. Details: gvb.nl -- Tram 17 is diverted between the Nieuwezijds Kolk and Bilderdijkstraat stops. Details: gvb.nl,"['Nieuwezijds Kolk', 'Bilderdijkstraat', 'Nieuwezijds Kolk', 'Bilderdijkstraat']",[],"[('Nieuwezijds Kolk', 'LOC'), ('Bilderdijkstraat', 'LOC'), ('Nieuwezijds Kolk', 'LOC'), ('Bilderdijkstraat', 'LOC')]",neutral,0.897,gvb
KV15:EBS:2025-06-05:1,EBS: Bus 71 stopt niet op deze halte op 10 juni tussen 20:00 uur en Einde dienst vanwege werkzaamheden. Meer weten? Kijk op ebs-ov.nl,"EBS: Bus 71 stopt niet op deze halte op 10 juni tussen 20:00 uur en Einde dienst vanwege werkzaamheden. Meer weten? Kijk op ebs-ov.nl
",1.0,8.0,"['3050833', '3050892', '3050894']",['126942'],"[datetime.datetime(2025, 6, 10, 17, 30)]","[datetime.datetime(2025, 6, 10, 21, 59)]",2025-06-17 20:58:26.851103,nl,"EBS: Bus 71 stopt niet op deze halte op 10 juni tussen 20:00 uur en Einde dienst vanwege werkzaamheden. Meer weten? Kijk op ebs-ov.nl
",[],[],[],negative,0.486,ebs
KV15:EBS:2025-06-05:2,"EBS: Bus 34 richting Monster stopt niet op deze halte van 13 mei t/m 6 juni vanwege werkzaamheden, reis via halte Stadsmolen. Meer weten? Kijk op ebs-ov.nl/haaglanden","EBS: Bus 34 richting Monster stopt niet op deze halte van 13 mei t/m 6 juni vanwege werkzaamheden, reis via halte Stadsmolen. Meer weten? Kijk op ebs-ov.nl/haaglanden
",1.0,8.0,['3050162'],['126956'],"[datetime.datetime(2025, 5, 14, 7, 17)]","[datetime.datetime(2025, 6, 13, 14, 1)]",2025-06-17 20:58:28.038164,nl,"EBS: Bus 34 richting Monster stopt niet op deze halte van 13 mei t/m 6 juni vanwege werkzaamheden, reis via halte Stadsmolen. Meer weten? Kijk op ebs-ov.nl/haaglanden
","['Monster', '', 'halte', 'Stadsmolen']",[],"[('Monster', 'LOC'), ('', 'LOC'), ('halte', 'LOC'), ('Stadsmolen', 'LOC')]",negative,0.557,ebs
KV15:ARR:2025-05-22:3,"Halte  vervalt van dinsdag 1 juli t/m 17 juli.
www.arriva.nl/omleidingen","Halte  vervalt van dinsdag 1 juli t/m 17 juli.
www.arriva.nl/omleidingen
",1.0,8.0,"['3116946', '3116947', '3116948', '3117001', '3116949', '3117005']","['129356', '129583']","[datetime.datetime(2025, 6, 25, 3, 0)]","[datetime.datetime(2025, 7, 17, 15, 0)]",2025-06-17 20:58:28.908390,nl,"Halte  vervalt van dinsdag 1 juli t/m 17 juli.
www.arriva.nl/omleidingen
",[],[],[],neutral,0.737,vervangende
KV15:ARR:2025-05-22:2,"halte vervalt van maandag 2 t/m dinsdag 10 juni.
www.arriva.nl/omleidingen","halte vervalt van maandag 2 t/m dinsdag 10 juni.
www.arriva.nl/omleidingen
",1.0,8.0,"['3116947', '3116948', '3116946', '3116949']","['129356', '129583']","[datetime.datetime(2025, 5, 28, 4, 1)]","[datetime.datetime(2025, 6, 10, 15, 1)]",2025-06-17 20:58:29.571374,nl,"halte vervalt van maandag 2 t/m dinsdag 10 juni.
www.arriva.nl/omleidingen
",[],[],[],neutral,0.716,vervangende
KV15:ARR:2025-05-22:1,In verband met de renovatie van de rotonde is deze halte vervallen tot 20-6 17:00. Maak gebruik van de tijdelijke halte aan de Reerinklanden thv de Kienhuislanden.,"In verband met de renovatie van de rotonde is deze halte vervallen tot 20-6 17:00. Maak gebruik van de tijdelijke halte aan de Reerinklanden thv de Kienhuislanden.
",1.0,8.0,"['3107382', '3078119']","['128886', '128087']","[datetime.datetime(2025, 4, 7, 3, 0)]","[datetime.datetime(2025, 6, 20, 15, 0)]",2025-06-17 20:58:30.596133,nl,"In verband met de renovatie van de rotonde is deze halte vervallen tot 20-6 17:00. Maak gebruik van de tijdelijke halte aan de Reerinklanden thv de Kienhuislanden.
","['Reerinklanden', 'Kienhuislanden']",[],"[('Reerinklanden', 'LOC'), ('Kienhuislanden', 'LOC')]",neutral,0.762,vervalt
KV15:GVB:2025-06-09:1036,Bus 61 stopt hier niet. Oorzaak: Aanrijding derden. Details: gvb.nl -- Stop not served by bus 61. Cause: Third-party accident. Details: gvb.nl,"Bus 61 stopt hier niet. Oorzaak: Aanrijding derden. Details: gvb.nl -- Stop not served by bus 61. Cause: Third-party accident. Details: gvb.nl
",1.0,8.0,"['3152248', '3152762', '2636348', '2636346', '2636347', '3153269']",,"[datetime.datetime(2025, 6, 9, 20, 43, 22)]","[datetime.datetime(2025, 6, 9, 22, 43, 22)]",2025-06-17 20:58:31.666553,nl,"Bus 61 stopt hier niet. Oorzaak: Aanrijding derden. Details: gvb.nl -- Stop not served by bus 61. Cause: Third-party accident. Details: gvb.nl
",[],[],[],negative,0.681,gvb
KV15:GVB:2025-06-09:1035,Bus 61 rijdt om vanaf halte Ookmeerweg. Oorzaak: Aanrijding derden. Details: gvb.nl -- Bus 61 runs a diverted route from Ookmeerweg. Cause: Third-party accident. Details: gvb.nl,"Bus 61 rijdt om vanaf halte Ookmeerweg. Oorzaak: Aanrijding derden. Details: gvb.nl -- Bus 61 runs a diverted route from Ookmeerweg. Cause: Third-party accident. Details: gvb.nl
",1.0,8.0,"['2636365', '3152384', '2636355', '2636410', '3153466', '3152631']",,"[datetime.datetime(2025, 6, 9, 20, 43, 22)]","[datetime.datetime(2025, 6, 9, 22, 43, 22)]",2025-06-17 20:58:33.458082,nl,"Bus 61 rijdt om vanaf halte Ookmeerweg. Oorzaak: Aanrijding derden. Details: gvb.nl -- Bus 61 runs a diverted route from Ookmeerweg. Cause: Third-party accident. Details: gvb.nl
","['Ookmeerweg', 'Ookmeerweg']",[],"[('Ookmeerweg', 'LOC'), ('Ookmeerweg', 'LOC')]",neutral,0.601,gvb
KV15:CXX:2025-06-09:10,"Halte vervalt op 12 juni van 09:00 tot 16:00. Tijdelijke halte: aan de Italielaan.
","Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervalt op 12 juni van 09:00 tot 16:00. Tijdelijke halte: aan de Italielaan.

",9.0,6.0,"['2750695', '2750694']",,"[datetime.datetime(2025, 6, 9, 10, 0)]","[datetime.datetime(2025, 6, 12, 6, 59)]",2025-06-17 20:58:35.371164,nl,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervalt op 12 juni van 09:00 tot 16:00. Tijdelijke halte: aan de Italielaan.

",[],[],[],neutral,0.849,vervangende
KV15:QBUZZ:2025-05-19:37,Qbuzz: Lijn 545 stopt niet op deze halte tot 10 juni 05:00 uur door Pinksterfeest festiviteiten. Stap in bij halte Station.,"Oorzaak : Jaarmarkt Pinksterfeest festiviteiten
Effect : Halte Commandementsplein vervalt.
Maatregelen : 
Qbuzz: Lijn 545 stopt niet op deze halte tot 10 juni 05:00 uur door Pinksterfeest festiviteiten. Stap in bij halte Station.
",7.0,8.0,"['3118400', '3103718', '3103717', '3118401']",['118028'],"[datetime.datetime(2025, 6, 8, 3, 0)]","[datetime.datetime(2025, 6, 10, 3, 0)]",2025-06-17 20:58:37.174128,nl,"Oorzaak : Jaarmarkt Pinksterfeest festiviteiten
Effect : Halte Commandementsplein vervalt.
Maatregelen : 
Qbuzz: Lijn 545 stopt niet op deze halte tot 10 juni 05:00 uur door Pinksterfeest festiviteiten. Stap in bij halte Station.
","['Commandementsplein', 'Station']",[],"[('Commandementsplein', 'LOC'), ('Station', 'LOC')]",neutral,0.533,qbuzz
