id,cause,effect,active_period_start,active_period_end,description_text,header_text,url_text,alert_stop_ids,alert_route_ids,timestamp,language,text,locations,times,entities,urgency_label,urgency_score,category
KV15:ARR:2025-04-24:118,1,8,2025-08-08 01:10:00+00:00,2025-08-08 01:40:00+00:00,"De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.
",De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.,,"['3077974', '3233345']","['134058', '128088']",2025-07-27 13:32:15.785532,nl,"De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.
","['Disselhoek', 'We', 'sselerbrink', 'Helmerhoek']",[],"[('Disselhoek', 'LOC'), ('We', 'LOC'), ('sselerbrink', 'LOC'), ('Helmerhoek', 'LOC')]",neutral,0.847,wesselerbrink
KV15:ARR:2025-04-24:239,1,8,2025-12-07 00:10:00+00:00,2025-12-07 00:40:00+00:00,"De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.
",De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.,,"['3077974', '3233345']","['134058', '128088']",2025-07-27 13:32:15.829639,nl,"De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.
","['Disselhoek', 'We', 'sselerbrink', 'Helmerhoek']",[],"[('Disselhoek', 'LOC'), ('We', 'LOC'), ('sselerbrink', 'LOC'), ('Helmerhoek', 'LOC')]",neutral,0.847,wesselerbrink
KV15:ARR:2025-04-24:117,1,8,2025-08-07 01:10:00+00:00,2025-08-07 01:40:00+00:00,"De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.
",De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.,,"['3077974', '3233345']","['134058', '128088']",2025-07-27 13:32:15.872319,nl,"De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.
","['Disselhoek', 'We', 'sselerbrink', 'Helmerhoek']",[],"[('Disselhoek', 'LOC'), ('We', 'LOC'), ('sselerbrink', 'LOC'), ('Helmerhoek', 'LOC')]",neutral,0.847,wesselerbrink
KV15:ARR:2025-04-24:238,1,8,2025-12-06 00:10:00+00:00,2025-12-06 00:40:00+00:00,"De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.
",De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.,,"['3077974', '3233345']","['134058', '128088']",2025-07-27 13:32:15.915670,nl,"De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.
","['Disselhoek', 'We', 'sselerbrink', 'Helmerhoek']",[],"[('Disselhoek', 'LOC'), ('We', 'LOC'), ('sselerbrink', 'LOC'), ('Helmerhoek', 'LOC')]",neutral,0.847,wesselerbrink
KV15:ARR:2025-04-24:119,1,8,2025-08-09 01:10:00+00:00,2025-08-09 01:40:00+00:00,"De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.
",De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.,,"['3077974', '3233345']","['134058', '128088']",2025-07-27 13:32:15.960049,nl,"De laatste lijn 5 rijdt na de halte Disselhoek niet verder. Maak gebruik van lijn 2 voor bestemmingen in de Wesselerbrink/Helmerhoek.
","['Disselhoek', 'We', 'sselerbrink', 'Helmerhoek']",[],"[('Disselhoek', 'LOC'), ('We', 'LOC'), ('sselerbrink', 'LOC'), ('Helmerhoek', 'LOC')]",neutral,0.847,wesselerbrink
KV15:ARR:2025-07-18:5,1,8,2025-07-18 09:28:00+00:00,2025-08-06 14:00:00+00:00,"Halte vervallen vanwege kermis vanaf donderdag 31 juli t/m woensdag 6 augustus einde dienst. Vervangende halte: Irenestraat, Donkstraat.
","Halte vervallen vanwege kermis vanaf donderdag 31 juli t/m woensdag 6 augustus einde dienst. Vervangende halte: Irenestraat, Donkstraat.",,"['3082510', '3236644', '3082517', '3236637']","['133939', '133964', '127820', '133953', '127833', '127819', '133952', '127832', '128301', '133940']",2025-07-27 13:32:16.010496,nl,"Halte vervallen vanwege kermis vanaf donderdag 31 juli t/m woensdag 6 augustus einde dienst. Vervangende halte: Irenestraat, Donkstraat.
","['Irenestraat', 'Donkstraat']",[],"[('Irenestraat', 'LOC'), ('Donkstraat', 'LOC')]",neutral,0.512,irenestraat
KV15:ARR:2025-07-18:6,1,8,2025-07-18 09:28:00+00:00,2025-08-07 20:00:00+00:00,"Halte vervallen vanwege kermis vanaf woensdag 30 juli 12:00 uur t/m donderdag 6 augustus 18:00 uur. Vervangende halte: Punt Nieuwstraat-Dorpsstraat
",Halte vervallen vanwege kermis vanaf woensdag 30 juli 12:00 uur t/m donderdag 6 augustus 18:00 uur. Vervangende halte: Punt Nieuwstraat-Dorpsstraat,,"['3082255', '3236403', '3236406', '3082258']","['133939', '133964', '127820', '133953', '127833', '127819', '133952', '127832', '128301', '133940']",2025-07-27 13:32:16.053521,nl,"Halte vervallen vanwege kermis vanaf woensdag 30 juli 12:00 uur t/m donderdag 6 augustus 18:00 uur. Vervangende halte: Punt Nieuwstraat-Dorpsstraat
",['Punt Nieuwstraat-Dorpsstraat'],[],"[('Punt Nieuwstraat-Dorpsstraat', 'LOC')]",neutral,0.582,nieuwstraat
KV15:ARR:2025-07-18:7,1,8,2025-07-18 09:28:00+00:00,2025-08-13 16:00:00+00:00,"Halte vervallen vanwege kermis vanaf dinsdag 5 augustus aanvang dienst t/m woensdag 13 augustus 14:00 uur Vervangende halte: Hoek Spoorstraat-Prins van Oranjestraat.
",Halte vervallen vanwege kermis vanaf dinsdag 5 augustus aanvang dienst t/m woensdag 13 augustus 14:00 uur Vervangende halte: Hoek Spoorstraat-Prins van Oranjestraat.,,"['3080495', '3235415', '3080496', '3080498', '3080497', '3235414', '3235416', '3235413']","['133952', '127832']",2025-07-27 13:32:16.109683,af,"Halte vervallen vanwege kermis vanaf dinsdag 5 augustus aanvang dienst t/m woensdag 13 augustus 14:00 uur Vervangende halte: Hoek Spoorstraat-Prins van Oranjestraat.
","['Hoek Spoorstraat-', 'Prins van Oranjestraat']",[],"[('Hoek Spoorstraat-', 'LOC'), ('Prins van Oranjestraat', 'LOC')]",neutral,0.606,spoorstraat
KV15:RET:2025-04-24:2,1,7,2025-05-24 07:00:00+00:00,2025-10-13 03:15:00+00:00,"Oorzaak : onbekend 
Maak gebruik van lijn 4 richting Molenlaan en stap over op de Soetendaalseweg voor lijn 6 richting Kleiweg.
",Maak gebruik van lijn 4 richting Molenlaan en stap over op de Soetendaalseweg voor lijn 6 richting Kleiweg.,,"['3140920', '3140915', '3140922', '3140918', '3140914', '3140917', '3140921', '3140997', '3140919', '3140912', '3141366', '3140916', '3140913']",,2025-07-27 13:32:16.160423,nl,"Oorzaak : onbekend 
Maak gebruik van lijn 4 richting Molenlaan en stap over op de Soetendaalseweg voor lijn 6 richting Kleiweg.
","['Molenlaan', 'Soetendaalseweg', 'Kleiweg']",[],"[('Molenlaan', 'LOC'), ('Soetendaalseweg', 'LOC'), ('Kleiweg', 'LOC')]",neutral,0.719,soetendaalseweg
KV15:ARR:2025-07-18:8,1,8,2025-07-18 13:28:00+00:00,2025-07-23 18:01:00+00:00,"In verband met werkzaamheden is deze halte vervallen op 23-7 van 9:00 tot 16:00. Maak gebruik van de haltes Van Damstraat, Fazantstraat en Buizerdstraat of aan de Deurningerstraat Roomveldje en Landstraat.
","In verband met werkzaamheden is deze halte vervallen op 23-7 van 9:00 tot 16:00. Maak gebruik van de haltes Van Damstraat, Fazantstraat en Buizerdstraat of aan de Deurningerstraat Roomveldje en Landstraat.",,"['3233366', '3233368', '3233370', '3078006', '3233380', '3078009', '3233377', '3077995', '3077997', '3077999']","['128085', '134055']",2025-07-27 13:32:16.203575,nl,"In verband met werkzaamheden is deze halte vervallen op 23-7 van 9:00 tot 16:00. Maak gebruik van de haltes Van Damstraat, Fazantstraat en Buizerdstraat of aan de Deurningerstraat Roomveldje en Landstraat.
","['Van Damstraat', 'Fazantstraat', 'Buizerdstraat', 'Deurningerstraat Roomveldje', 'Landstraat']",[],"[('Van Damstraat', 'LOC'), ('Fazantstraat', 'LOC'), ('Buizerdstraat', 'LOC'), ('Deurningerstraat Roomveldje', 'LOC'), ('Landstraat', 'LOC')]",neutral,0.713,damstraat
