trip_id,start_time_vehicle,start_date_vehicle,schedule_relationship,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp_telemetry,stop_id,vehicle_label,speed_kmh,speed_kmh_qt,start_time_trip,start_date_trip,arrival_delay,departure_delay,arrival_delay_abs,departure_delay_abs,id,header_text,description_text,cause,effect,alert_route_ids,alert_start_times,alert_end_times,timestamp_alert_stop,language,text,locations,times,entities,urgency_label,urgency_score,category,id_alert_route,header_text_alert_route,description_text_alert_route,cause_alert_route,effect_alert_route,alert_stop_ids,alert_start_times_alert_route,alert_end_times_alert_route,timestamp,language_alert_route,text_alert_route,locations_alert_route,times_alert_route,entities_alert_route,urgency_label_alert_route,urgency_score_alert_route,category_alert_route
294220217,22:20:00,2025-06-09,0,117975,1.0,53.3819580078125,5.962238311767578,31.0,2,2025-06-09 21:03:15,2897421,1004,,,22:20:00,2025-06-09,-42.0,-42.0,42.0,42.0,KV15:QBUZZ:2025-06-06:15,"Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl","Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl
",1.0,8.0,,"[datetime.datetime(2025, 6, 6, 16, 0)]","[datetime.datetime(2025, 6, 10, 0, 30)]",2025-06-10 17:02:34.555682,nl,"Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl
",[],[],"[('Qbuzz', 'ORG')]",neutral,0.855,reiziger,KV15:QBUZZ:2025-06-06:1,Qbuzz: Lijn 60 stop tot 23 juni 02:30 uur niet op deze halte i.v.m. een evenement. Maak gebruik van de tijdelijke halte Uniawei thv Molen of Lege Heaewei.,"Oorzaak : Evenement.
Effect : Halte Uniawei en Langebuorren vervallen.
Maatregelen : 
Qbuzz: Lijn 60 stop tot 23 juni 02:30 uur niet op deze halte i.v.m. een evenement. Maak gebruik van de tijdelijke halte Uniawei thv Molen of Lege Heaewei.
",1.0,8.0,"['2897106', '3121917', '3090499', '2897113', '3143858', '2897107']","[datetime.datetime(2025, 6, 22, 3, 0)]","[datetime.datetime(2025, 6, 23, 0, 30)]",2025-06-10 17:03:14.470778,nl,"Oorzaak : Evenement.
Effect : Halte Uniawei en Langebuorren vervallen.
Maatregelen : 
Qbuzz: Lijn 60 stop tot 23 juni 02:30 uur niet op deze halte i.v.m. een evenement. Maak gebruik van de tijdelijke halte Uniawei thv Molen of Lege Heaewei.
","['Uniawei', 'Langebuorren', 'ijn', 'Uniawei', 'Mol', 'en', 'Lege Heaewei']",[],"[('Uniawei', 'LOC'), ('Langebuorren', 'LOC'), ('ijn', 'LOC'), ('Uniawei', 'LOC'), ('Mol', 'LOC'), ('en', 'LOC'), ('Lege Heaewei', 'LOC')]",neutral,0.721,evenement
294265467,22:38:25,2025-06-09,0,129864,1.0,52.03923416137695,4.344953536987305,16.0,2,2025-06-09 21:03:02,3089944,1006,,,22:38:25,2025-06-09,-376.0,-376.0,376.0,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294214307,22:49:00,2025-06-09,0,117957,0.0,53.215885162353516,5.824040412902832,8.0,2,2025-06-09 21:03:03,3143817,1007,,,22:49:00,2025-06-09,192.0,214.0,192.0,214.0,KV15:QBUZZ:2025-06-06:14,"Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl","Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl
",1.0,8.0,,"[datetime.datetime(2025, 6, 6, 16, 0)]","[datetime.datetime(2025, 6, 10, 0, 30)]",2025-06-10 17:02:33.622352,nl,"Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl
",[],[],"[('Qbuzz', 'ORG')]",neutral,0.855,reiziger,,,,,,,,,,,,,,,,,
294265895,22:20:00,2025-06-09,0,104329,1.0,52.03742599487305,4.306808948516846,35.0,2,2025-06-09 21:03:09,2515993,1007,0.9485944917618876,0.9468842163792565,22:20:00,2025-06-09,29.0,45.0,29.0,45.0,,,,,,,,,,,,,,,,,,KV15:HTM:2025-05-08:33795,Halte vervalt voor bus 23 vanaf 26 mei tot half juli meer info op htm.nl.,"Oorzaak : Kruising Thorbeckelaan met Laan van Meerdervoort afgesloten
Effect : Bus 23 stopt niet bij halten Appelstraat en Colijnplein maar bij tijdelijke halten.
Halte vervalt voor bus 23 vanaf 26 mei tot half juli meer info op htm.nl.
",1.0,8.0,"['2559782', '2559784', '2559783']","[datetime.datetime(2025, 5, 23, 1, 0)]","[datetime.datetime(2025, 7, 15, 1, 0)]",2025-06-10 17:01:55.262967,nl,"Oorzaak : Kruising Thorbeckelaan met Laan van Meerdervoort afgesloten
Effect : Bus 23 stopt niet bij halten Appelstraat en Colijnplein maar bij tijdelijke halten.
Halte vervalt voor bus 23 vanaf 26 mei tot half juli meer info op htm.nl.
","['Thorbeckelaan', 'Laan van Meerdervoort', 'Appelstraat', 'Colijnplein']",[],"[('Thorbeckelaan', 'LOC'), ('Laan van Meerdervoort', 'LOC'), ('Appelstraat', 'LOC'), ('Colijnplein', 'LOC')]",neutral,0.635,Uncategorized (Noise)
294352171,23:02:00,2025-06-09,0,104271,1.0,52.15281677246094,5.374257564544678,1.0,2,2025-06-09 21:02:59,2694492,1011,,,23:02:00,2025-06-09,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294218465,22:47:00,2025-06-09,0,119991,0.0,53.29747009277344,5.952742099761963,13.0,2,2025-06-09 21:03:10,2897567,1011,0.2986924543913492,0.2981096961846127,22:47:00,2025-06-09,71.0,71.0,71.0,71.0,KV15:QBUZZ:2025-06-06:15,"Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl","Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl
",1.0,8.0,,"[datetime.datetime(2025, 6, 6, 16, 0)]","[datetime.datetime(2025, 6, 10, 0, 30)]",2025-06-10 17:02:34.555682,nl,"Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl
",[],[],"[('Qbuzz', 'ORG')]",neutral,0.855,reiziger,,,,,,,,,,,,,,,,,
294209151,22:50:00,2025-06-09,0,119977,0.0,53.18085479736328,5.830806732177734,14.0,2,2025-06-09 21:03:14,2898606,1012,,,22:50:00,2025-06-09,67.0,67.0,67.0,67.0,KV15:QBUZZ:2025-06-06:17,"Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl","Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl
",1.0,8.0,,"[datetime.datetime(2025, 6, 6, 16, 0)]","[datetime.datetime(2025, 6, 10, 0, 30)]",2025-06-10 17:02:35.542654,nl,"Beste reiziger, Qbuzz rijdt op maandag 9 juni volgens de zondagsdienstregeling i.v.m. Pinksteren. Plan je reis voor vertrek: 9292.nl
",[],[],"[('Qbuzz', 'ORG')]",neutral,0.855,reiziger,,,,,,,,,,,,,,,,,
294266160,22:51:51,2025-06-09,0,104331,0.0,52.06206512451172,4.283726692199707,10.0,2,2025-06-09 21:03:07,3048432,1014,,,22:51:51,2025-06-09,53.0,77.0,53.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294266266,22:49:29,2025-06-09,0,104332,0.0,52.062252044677734,4.284290790557861,8.0,2,2025-06-09 21:03:13,3048434,1015,0.5791740843034979,0.5791325557479827,22:49:29,2025-06-09,230.0,230.0,230.0,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294356372,22:42:00,2025-06-09,0,116640,0.0,52.15829086303711,5.398178577423096,22.0,2,2025-06-09 21:03:17,2694482,1015,0.6501853023673105,0.6500535116807892,22:42:00,2025-06-09,101.0,101.0,101.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
