trip_id,route_id,start_time,start_date,stop_id,arrival_delay,departure_delay,arrival_delay_abs,departure_delay_abs
292806272,106032,10:40:00,2025-06-10,2702982,,0.0,,0.0
292806590,106032,10:50:00,2025-06-10,2702857,,0.0,,0.0
292806575,106032,10:00:00,2025-06-10,2702857,,0.0,,0.0
292806260,106032,10:00:00,2025-06-10,2702982,,0.0,,0.0
292806579,106032,10:10:00,2025-06-10,2702857,,0.0,,0.0
292806264,106032,10:10:00,2025-06-10,2702982,,0.0,,0.0
295545848,127925,22:36:00,2025-06-09,3084304,-806.0,85.0,806.0,85.0
295545848,127925,22:36:00,2025-06-09,3084312,155.0,159.0,155.0,159.0
295545848,127925,22:36:00,2025-06-09,3084314,103.0,127.0,103.0,127.0
295545848,127925,22:36:00,2025-06-09,3084256,165.0,168.0,165.0,168.0
295545848,127925,22:36:00,2025-06-09,3084336,54.0,59.0,54.0,59.0
295545848,127925,22:36:00,2025-06-09,3084335,78.0,102.0,78.0,102.0
295545848,127925,22:36:00,2025-06-09,3084328,64.0,69.0,64.0,69.0
295545848,127925,22:36:00,2025-06-09,3084326,71.0,76.0,71.0,76.0
295545848,127925,22:36:00,2025-06-09,3084323,12.0,18.0,12.0,18.0
295545848,127925,22:36:00,2025-06-09,3084321,11.0,22.0,11.0,22.0
295545848,127925,22:36:00,2025-06-09,3084338,-56.0,0.0,56.0,0.0
295545848,127925,22:36:00,2025-06-09,3084446,-101.0,-29.0,101.0,29.0
295545848,127925,22:36:00,2025-06-09,3084444,-89.0,-84.0,89.0,84.0
295545848,127925,22:36:00,2025-06-09,3084566,-64.0,-23.0,64.0,23.0
295545848,127925,22:36:00,2025-06-09,3084565,-83.0,-79.0,83.0,79.0
295545848,127925,22:36:00,2025-06-09,3084556,-132.0,-127.0,132.0,127.0
295545848,127925,22:36:00,2025-06-09,3084559,-138.0,-131.0,138.0,131.0
295545848,127925,22:36:00,2025-06-09,3084552,-156.0,-151.0,156.0,151.0
295545848,127925,22:36:00,2025-06-09,3084560,-205.0,0.0,205.0,0.0
294595893,129967,22:41:45,2025-06-09,3140821,,0.0,,0.0
294595893,129967,22:41:45,2025-06-09,3140818,38.0,70.0,38.0,70.0
294595893,129967,22:41:45,2025-06-09,3140816,41.0,80.0,41.0,80.0
294595893,129967,22:41:45,2025-06-09,3140812,23.0,63.0,23.0,63.0
294595893,129967,22:41:45,2025-06-09,3140810,34.0,81.0,34.0,81.0
294595893,129967,22:41:45,2025-06-09,3140808,57.0,106.0,57.0,106.0
294595893,129967,22:41:45,2025-06-09,3140806,65.0,109.0,65.0,109.0
